 0:00:02.000 -51.11 -51.11 -51.10 23:59:46.000* 2295
 0:00:08.000 -51.11 -51.11 -51.10  0:00:02.000* 2295
 0:00:13.000 -51.11 -51.11 -51.10  0:00:08.000* 2295
 0:00:19.000 -51.11 -51.11 -51.10  0:00:13.000* 2295
 0:00:24.000 -51.11 -51.11 -51.10  0:00:19.000* 2295
 0:00:30.000 -51.11 -50.65 -51.10  0:00:24.000* 2295
 0:00:35.000 -51.11 -51.11 -51.10  0:00:30.000* 2295
 0:00:40.000 -51.11 -51.11 -51.10  0:00:35.000* 2295
 0:00:46.000 -51.56 -50.65 -51.10  0:00:40.000* 2295
 0:00:51.000 -51.11 -50.65 -51.10  0:00:46.000* 2295
 0:00:57.000 -51.11 -51.11 -51.10  0:00:51.000* 2295
 0:01:02.000 -51.11 -51.11 -51.10  0:00:57.000* 2295
 0:01:08.000 -51.11 -51.11 -51.10  0:01:02.000* 2295
 0:01:13.000 -51.11 -51.11 -51.10  0:01:08.000* 2295
 0:01:18.000 -51.11 -50.65 -51.10  0:01:13.000* 2295
 0:01:23.000 -51.11 -50.65 -51.10  0:01:18.000* 2295
 0:01:28.000 -51.11 -51.11 -51.10  0:01:23.000* 2295
 0:01:34.000 -51.11 -51.11 -51.10  0:01:28.000* 2295
 0:01:39.000 -51.11 -51.11 -51.10  0:01:34.000* 2295
 0:01:45.000 -51.11 -51.11 -51.10  0:01:39.000* 2295
 0:01:50.000 -51.11 -51.11 -51.10  0:01:45.000* 2295
 0:01:55.000 -51.11 -50.65 -51.10  0:01:50.000* 2295
 0:02:01.000 -51.11 -50.65 -51.10  0:01:55.000* 2295
 0:02:06.000 -51.11 -51.11 -51.10  0:02:01.000* 2295
 0:02:12.000 -51.11 -50.65 -51.10  0:02:06.000* 2295
 0:02:17.000 -51.11 -51.11 -51.10  0:02:12.000* 2295
 0:02:23.000 -51.11 -51.11 -51.10  0:02:17.000* 2295
 0:02:28.000 -51.11 -51.11 -51.10  0:02:23.000* 2295
 0:02:33.000 -51.11 -51.11 -51.10  0:02:28.000* 2295
 0:02:38.000 -51.11 -51.11 -51.10  0:02:33.000* 2295
 0:02:43.000 -51.11 -51.11 -51.10  0:02:38.000* 2295
 0:02:49.000 -51.11 -51.11 -51.10  0:02:43.000* 2295
